From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Pathway	Function [CC]	Organism (ID)	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	Organism
NP_001323295.1	A0A384KYT1	unreviewed	A0A384KYT1_ARATH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	AXX17_At1g03200			3702	cytoplasm [GO:0005737]		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0005737; GO:0106310	Arabidopsis thaliana (Mouse-ear cress)
NP_171888.1	A0A384KYT1	unreviewed	A0A384KYT1_ARATH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	AXX17_At1g03200			3702	cytoplasm [GO:0005737]		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0005737; GO:0106310	Arabidopsis thaliana (Mouse-ear cress)
NP_175130.2	F4HPN2	reviewed	IRE4_ARATH	Probable serine/threonine protein kinase IRE4 (AtIRE4) (EC 2.7.11.1)	IRE4 At1g45160 F27F5.23			3702		intracellular signal transduction [GO:0035556]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]; intracellular signal transduction [GO:0035556]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]	GO:0004674; GO:0005524; GO:0008270; GO:0016301; GO:0035556; GO:0106310	Arabidopsis thaliana (Mouse-ear cress)
NP_001031155.4	F4HYG2	reviewed	IRE3_ARATH	Probable serine/threonine protein kinase IRE3 (AtIRE3) (EC 2.7.11.1)	IRE3 At1g48490 T1N15.10			3702	root hair [GO:0035618]	defense response to bacterium [GO:0042742]; intracellular signal transduction [GO:0035556]	root hair [GO:0035618]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]; defense response to bacterium [GO:0042742]; intracellular signal transduction [GO:0035556]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]	GO:0004674; GO:0005524; GO:0008270; GO:0016301; GO:0035556; GO:0035618; GO:0042742; GO:0106310	Arabidopsis thaliana (Mouse-ear cress)
NP_001031155.4	A0A178WE40	unreviewed	A0A178WE40_ARATH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	AXX17_At1g42590			3702			ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]	GO:0004674; GO:0005524; GO:0008270	Arabidopsis thaliana (Mouse-ear cress)
NP_001154409.1	F4HYG2	reviewed	IRE3_ARATH	Probable serine/threonine protein kinase IRE3 (AtIRE3) (EC 2.7.11.1)	IRE3 At1g48490 T1N15.10			3702	root hair [GO:0035618]	defense response to bacterium [GO:0042742]; intracellular signal transduction [GO:0035556]	root hair [GO:0035618]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]; defense response to bacterium [GO:0042742]; intracellular signal transduction [GO:0035556]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]	GO:0004674; GO:0005524; GO:0008270; GO:0016301; GO:0035556; GO:0035618; GO:0042742; GO:0106310	Arabidopsis thaliana (Mouse-ear cress)
NP_001154409.1	A0A178WE40	unreviewed	A0A178WE40_ARATH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	AXX17_At1g42590			3702			ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]	GO:0004674; GO:0005524; GO:0008270	Arabidopsis thaliana (Mouse-ear cress)
NP_564529.4	F4HYG2	reviewed	IRE3_ARATH	Probable serine/threonine protein kinase IRE3 (AtIRE3) (EC 2.7.11.1)	IRE3 At1g48490 T1N15.10			3702	root hair [GO:0035618]	defense response to bacterium [GO:0042742]; intracellular signal transduction [GO:0035556]	root hair [GO:0035618]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]; defense response to bacterium [GO:0042742]; intracellular signal transduction [GO:0035556]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]	GO:0004674; GO:0005524; GO:0008270; GO:0016301; GO:0035556; GO:0035618; GO:0042742; GO:0106310	Arabidopsis thaliana (Mouse-ear cress)
NP_564529.4	A0A178WE40	unreviewed	A0A178WE40_ARATH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	AXX17_At1g42590			3702			ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]	GO:0004674; GO:0005524; GO:0008270	Arabidopsis thaliana (Mouse-ear cress)
NP_001323023.1	A0A1P8AVQ0	unreviewed	A0A1P8AVQ0_ARATH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	IRE3 At1g48490 T1N15.10 T1N15_10			3702			ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]	GO:0004674; GO:0005524; GO:0008270	Arabidopsis thaliana (Mouse-ear cress)
