NP_000052.1	cdc1eb3031dbbbad38e0ebfbc0fd30bd	659	Pfam	PF00017	SH2 domain	281	362	3.7E-18	T	14-10-2025	IPR000980	SH2 domain	-	-
NP_000052.1	cdc1eb3031dbbbad38e0ebfbc0fd30bd	659	Pfam	PF07714	Protein tyrosine and serine/threonine kinase	402	650	3.4E-94	T	14-10-2025	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	-	-
NP_000052.1	cdc1eb3031dbbbad38e0ebfbc0fd30bd	659	Pfam	PF00169	PH domain	5	133	3.5E-9	T	14-10-2025	IPR001849	Pleckstrin homology domain	-	-
NP_000052.1	cdc1eb3031dbbbad38e0ebfbc0fd30bd	659	Pfam	PF00779	BTK motif	141	167	9.2E-10	T	14-10-2025	IPR001562	Zinc finger, Btk motif	-	-
NP_000052.1	cdc1eb3031dbbbad38e0ebfbc0fd30bd	659	Pfam	PF00018	SH3 domain	220	266	1.3E-13	T	14-10-2025	IPR001452	SH3 domain	-	-
NP_001006666.1	febce86a3e37fe3c8a8880c10ae53c87	744	Pfam	PF00069	Protein kinase domain	427	684	9.2E-76	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001006666.1	febce86a3e37fe3c8a8880c10ae53c87	744	Pfam	PF00069	Protein kinase domain	71	329	2.9E-68	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001006666.1	febce86a3e37fe3c8a8880c10ae53c87	744	Pfam	PF00433	Protein kinase C terminal domain	354	390	0.057	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001006933.3	41a7ee2456eafb70d093b5403b858f59	741	Pfam	PF00433	Protein kinase C terminal domain	350	386	0.014	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001006933.3	41a7ee2456eafb70d093b5403b858f59	741	Pfam	PF00069	Protein kinase domain	423	680	1.0E-72	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001006933.3	41a7ee2456eafb70d093b5403b858f59	741	Pfam	PF00069	Protein kinase domain	67	326	6.5E-68	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001006945.1	c3fe4b18292946a052f3f21455ef1e25	766	Pfam	PF00069	Protein kinase domain	33	301	7.2E-63	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001006945.1	c3fe4b18292946a052f3f21455ef1e25	766	Pfam	PF00069	Protein kinase domain	410	667	7.7E-64	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001006945.1	c3fe4b18292946a052f3f21455ef1e25	766	Pfam	PF00433	Protein kinase C terminal domain	322	361	0.011	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001014431.1	1620296e269940b19bafa78ca71e003a	480	Pfam	PF00433	Protein kinase C terminal domain	429	474	3.5E-7	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001014431.1	1620296e269940b19bafa78ca71e003a	480	Pfam	PF00169	PH domain	7	106	1.2E-15	T	14-10-2025	IPR001849	Pleckstrin homology domain	-	-
NP_001014431.1	1620296e269940b19bafa78ca71e003a	480	Pfam	PF00069	Protein kinase domain	151	408	4.7E-76	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001014432.1	1620296e269940b19bafa78ca71e003a	480	Pfam	PF00433	Protein kinase C terminal domain	429	474	3.5E-7	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001014432.1	1620296e269940b19bafa78ca71e003a	480	Pfam	PF00169	PH domain	7	106	1.2E-15	T	14-10-2025	IPR001849	Pleckstrin homology domain	-	-
NP_001014432.1	1620296e269940b19bafa78ca71e003a	480	Pfam	PF00069	Protein kinase domain	151	408	4.7E-76	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001019831.2	a71d187fd4026e3472849b29a7bed47a	2986	Pfam	PF00621	RhoGEF domain	1285	1454	1.1E-33	T	14-10-2025	IPR000219	Dbl homology domain	-	-
NP_001019831.2	a71d187fd4026e3472849b29a7bed47a	2986	Pfam	PF00621	RhoGEF domain	1933	2102	1.8E-37	T	14-10-2025	IPR000219	Dbl homology domain	-	-
NP_001019831.2	a71d187fd4026e3472849b29a7bed47a	2986	Pfam	PF00069	Protein kinase domain	2684	2938	1.2E-56	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001019831.2	a71d187fd4026e3472849b29a7bed47a	2986	Pfam	PF00041	Fibronectin type III domain	2571	2659	2.3E-9	T	14-10-2025	IPR003961	Fibronectin type III	-	-
