tar,tar_acc,query,hmm_acc,full_e,full_score,full_bias,dom_e,dom_score,dom_bias,acc,Organism Name,Organism Taxonomic ID
AAZ11787.1,-,Pkinase,PF00069.31,5.9e-72,241.2,0.0,7.4e-72,240.9,0.0,GCA_000002445.1,Trypanosoma brucei brucei TREU927,185431
EFC48508.1,-,Pkinase,PF00069.31,1.9e-73,246.9,0.0,2.6e-73,246.5,0.0,GCA_000004985.1,Naegleria gruberi,5762
EFC48465.1,-,Pkinase,PF00069.31,4.4e-71,239.2,0.0,8e-71,238.3,0.0,GCA_000004985.1,Naegleria gruberi,5762
EKG01083.1,-,Pkinase,PF00069.31,7e-70,234.7,0.0,8.7e-70,234.4,0.0,GCA_000188675.2,Trypanosoma cruzi,5693
EKG01152.1,-,Pkinase,PF00069.31,7.6e-70,234.6,0.0,9.5e-70,234.3,0.0,GCA_000188675.2,Trypanosoma cruzi,5693
EKG05995.1,-,Pkinase,PF00069.31,1.5e-69,233.6,0.0,2e-69,233.2,0.0,GCA_000188675.2,Trypanosoma cruzi,5693
EAN95526.1,-,Pkinase,PF00069.31,3.8e-69,233.1,0.0,4.999999999999998e-69,232.7,0.0,GCA_000209065.1,Trypanosoma cruzi,5693
EAN93289.1,-,Pkinase,PF00069.31,4.5e-69,232.9,0.0,5.8e-69,232.5,0.0,GCA_000209065.1,Trypanosoma cruzi,5693
CBH11725.1,-,Pkinase,PF00069.31,6.6e-72,241.2,0.0,8.3e-72,240.9,0.0,GCA_000210295.1,Trypanosoma brucei gambiense DAL972,679716
CCD12967.1,-,Pkinase,PF00069.31,9.1e-71,236.7,0.0,1.2e-70,236.4,0.0,GCA_000227395.2,Trypanosoma congolense IL3000,1068625
ESL09287.1,-,Pkinase,PF00069.31,5.1e-72,241.1,0.0,6.5e-72,240.8,0.0,GCA_000492115.1,Trypanosoma rangeli SC58,429131
ESL09328.1,-,Pkinase,PF00069.31,1.7e-70,236.1,0.0,2.2e-70,235.8,0.0,GCA_000492115.1,Trypanosoma rangeli SC58,429131
ESS66503.1,-,Pkinase,PF00069.31,1.6e-69,233.6,0.0,2.1e-69,233.2,0.0,GCA_000496795.1,Trypanosoma cruzi Dm28c,1416333
KEG13031.1,-,Pkinase,PF00069.31,1.2e-70,237.1,0.0,1.7e-70,236.7,0.0,GCA_000691245.1,Trypanosoma grayi,71804
KPI88701.1,-,Pkinase,PF00069.31,1.2e-70,236.8,0.0,1.6e-70,236.4,0.0,GCA_001299535.1,Leptomonas seymouri,5684
SCU71901.1,-,Pkinase,PF00069.31,5.2e-72,241.2,0.0,6.4e-72,240.9,0.0,GCA_001457755.2,Trypanosoma equiperdum,5694
CUG87473.1,-,Pkinase,PF00069.31,1.4e-72,244.3,0.0,1.8e-72,243.9,0.0,GCA_001460835.1,Bodo saltans,75058
ORC90990.1,-,Pkinase,PF00069.31,5.6e-73,244.9,0.0,7.700000000000001e-73,244.4,0.0,GCA_002087225.1,Trypanosoma theileri,67003
PBJ68363.1,-,Pkinase,PF00069.31,2.6e-69,233.1,0.0,3.4e-69,232.7,0.0,GCA_002219105.2,Trypanosoma cruzi cruzi,85057
PWV03565.1,-,Pkinase,PF00069.31,4.7e-69,233.1,0.0,6.099999999999998e-69,232.7,0.0,GCA_003177095.1,Trypanosoma cruzi,5693
PWV04907.1,-,Pkinase,PF00069.31,5.8e-69,232.8,0.0,7.499999999999999e-69,232.4,0.0,GCA_003177095.1,Trypanosoma cruzi,5693
PWU91309.1,-,Pkinase,PF00069.31,2.4e-69,233.4,0.0,3.1e-69,233.1,0.0,GCA_003177105.1,Trypanosoma cruzi,5693
KAG2383509.1,-,Pkinase,PF00069.31,5.3e-72,242.1,0.0,7.5e-72,241.6,0.0,GCA_003324165.2,Naegleria lovaniensis,51637
RHW72188.1,-,Pkinase,PF00069.31,5.2e-72,241.2,0.0,6.5e-72,240.9,0.0,GCA_003543875.1,Trypanosoma brucei equiperdum,630700
RNC33287.1,-,Pkinase,PF00069.31,5.8e-69,233.2,0.0,7.499999999999999e-69,232.9,0.0,GCA_003719155.1,Trypanosoma cruzi,5693
RNC58122.1,-,Pkinase,PF00069.31,6.299999999999998e-69,233.1,0.0,8.2e-69,232.7,0.0,GCA_003719155.1,Trypanosoma cruzi,5693
RNC45389.1,-,Pkinase,PF00069.31,7.399999999999998e-69,232.9,0.0,9.599999999999998e-69,232.5,0.0,GCA_003719155.1,Trypanosoma cruzi,5693
RNF23461.1,-,Pkinase,PF00069.31,2.5e-69,233.1,0.0,3.2e-69,232.7,0.0,GCA_003719455.1,Trypanosoma cruzi,5693
RNF10748.1,-,Pkinase,PF00069.31,2.5e-70,236.0,0.0,3.1e-70,235.7,0.0,GCA_003719475.1,Trypanosoma rangeli,5698
RNF26246.1,-,Pkinase,PF00069.31,2.5e-70,236.1,0.0,3.1e-70,235.8,0.0,GCA_003719485.1,Trypanosoma conorhini,83891
KAF0972041.1,-,Pkinase,PF00069.31,1.3e-72,243.9,0.0,1.9e-72,243.4,0.0,GCA_008403515.1,Naegleria fowleri,5763
KAF0971992.1,-,Pkinase,PF00069.31,3.3e-71,239.4,0.0,5.200000000000001e-71,238.7,0.0,GCA_008403515.1,Naegleria fowleri,5763
KAF8285262.1,-,Pkinase,PF00069.31,2.8e-69,233.1,0.0,3.6e-69,232.7,0.0,GCA_015033625.1,Trypanosoma cruzi,5693
KAF8293881.1,-,Pkinase,PF00069.31,2.8e-69,233.1,0.0,3.6e-69,232.7,0.0,GCA_015033655.1,Trypanosoma cruzi,5693
KAK7200002.1,-,Pkinase,PF00069.31,3.2000000000000007e-71,238.7,0.0,4.300000000000001e-71,238.3,0.0,GCA_019188245.1,Novymonas esmeraldas,1808958
KAH8613647.1,-,Pkinase,PF00069.31,1.5e-73,247.4,0.0,2e-73,247.0,0.0,GCA_021307395.1,Trypanosoma vivax,5699
KAL0489363.1,-,Pkinase,PF00069.31,5.800000000000001e-71,238.8,0.1,1.1e-70,237.9,0.0,GCA_026419775.2,Acrasis kona,1008807
KAL0480874.1,-,Pkinase,PF00069.31,3.5e-69,232.9,0.0,4.6e-69,232.5,0.0,GCA_026419775.2,Acrasis kona,1008807
KAL0476374.1,-,Pkinase,PF00069.31,6.4e-67,225.5,0.0,8.8e-67,225.1,0.0,GCA_026419775.2,Acrasis kona,1008807
KAL0483437.1,-,Pkinase,PF00069.31,6.4e-67,225.5,0.0,8.8e-67,225.1,0.0,GCA_026419775.2,Acrasis kona,1008807
KAJ9458537.1,-,Pkinase,PF00069.31,7.700000000000001e-71,239.6,0.0,9.7e-71,239.3,0.0,GCA_030068145.1,Diplonema papillatum,91374
KAJ9457942.1,-,Pkinase,PF00069.31,2e-61,208.8,0.0,2.9e-61,208.3,0.0,GCA_030068145.1,Diplonema papillatum,91374
