,query_id,hit_id,hit_eval,hit_bitscore,hit_description
0,Mass_AKT_Aligned,XP_002368822.1,4.5e-91,313.2,AGC kinase [Toxoplasma gondii ME49]
1,Mass_AKT_Aligned,XP_002369273.1,4.7e-41,147.0,AGC kinase [Toxoplasma gondii ME49]
2,Mass_AKT_Aligned,XP_018636458.1,2.5e-22,84.8,"histone kinase SNF1, putative [Toxopla"
3,Mass_AKT_Aligned,XP_018636768.1,3.4e-19,74.4,"serine/threonine protein kinase AktR,"
4,Mass_AKT_Aligned,XP_002364378.1,2.3e-11,48.4,protein kinase G AGC kinase family mem
5,Mass_AKT_Aligned,XP_002366266.1,6.3,10.4,AGC kinase [Toxoplasma gondii ME49]
0,Mass_AKT_Aligned,XP_001346828.1,3.9e-38,133.1,Protein kinase (macronuclear) [Paramec
1,Mass_AKT_Aligned,XP_001347161.1,1.4e-34,121.3,"Putative kinase, similar to Sgk1 serin"
2,Mass_AKT_Aligned,XP_001346931.1,1.7e-09,38.0,Protein kinase (macronuclear) [Paramec
3,Mass_AKT_Aligned,XP_001347133.1,1.3e-08,35.1,cAMP-dependent protein kinase catalyti
4,Mass_AKT_Aligned,XP_001347178.1,0.0042,16.7,cGMP-dependent protein kinase (macronu
0,Mass_AKT_Aligned,XP_001426528.1,7.5e-63,221.6,uncharacterized protein GSPATT00029761
1,Mass_AKT_Aligned,XP_001446226.1,3.6e-62,219.4,uncharacterized protein GSPATT00001870
2,Mass_AKT_Aligned,XP_001457029.1,9.2e-62,218.0,uncharacterized protein GSPATT00022804
3,Mass_AKT_Aligned,XP_001450719.1,2.1e-61,216.8,uncharacterized protein GSPATT00017666
4,Mass_AKT_Aligned,XP_001436214.1,3.4e-61,216.2,uncharacterized protein GSPATT00007028
5,Mass_AKT_Aligned,XP_001456072.1,7.4e-61,215.0,uncharacterized protein GSPATT00021843
6,Mass_AKT_Aligned,XP_001453777.1,1.7e-60,213.8,uncharacterized protein GSPATT00020061
7,Mass_AKT_Aligned,XP_001456532.1,1.2e-59,211.0,uncharacterized protein GSPATT00022304
8,Mass_AKT_Aligned,XP_001454607.1,6.6e-59,208.5,uncharacterized protein GSPATT00020863
9,Mass_AKT_Aligned,XP_001437914.1,6.6e-58,205.2,uncharacterized protein GSPATT00007652
10,Mass_AKT_Aligned,XP_001442463.1,5.2e-57,202.2,uncharacterized protein GSPATT00001268
11,Mass_AKT_Aligned,XP_001455304.1,7.9e-57,201.6,uncharacterized protein GSPATT00021531
12,Mass_AKT_Aligned,XP_001424500.1,9.9e-54,191.4,uncharacterized protein GSPATT00028137
13,Mass_AKT_Aligned,XP_001449219.1,2.9e-53,189.8,uncharacterized protein GSPATT00016635
14,Mass_AKT_Aligned,XP_001437129.1,8.6e-53,188.2,uncharacterized protein GSPATT00038175
15,Mass_AKT_Aligned,XP_001454992.1,2.1e-52,187.0,uncharacterized protein GSPATT00021227
16,Mass_AKT_Aligned,XP_001443168.1,2.5e-52,186.7,uncharacterized protein GSPATT00011371
17,Mass_AKT_Aligned,XP_001458902.1,1.8e-51,183.8,uncharacterized protein GSPATT00024233
18,Mass_AKT_Aligned,XP_001458576.1,5.8e-50,178.8,uncharacterized protein GSPATT00023907
19,Mass_AKT_Aligned,XP_001442059.1,7.6e-50,178.4,uncharacterized protein GSPATT00010830
20,Mass_AKT_Aligned,XP_001446772.1,1.6e-49,177.4,uncharacterized protein GSPATT00014321
21,Mass_AKT_Aligned,XP_001431227.1,3.4e-47,169.7,uncharacterized protein GSPATT00033682
22,Mass_AKT_Aligned,XP_001437858.1,1.1e-46,168.0,uncharacterized protein GSPATT00038565
23,Mass_AKT_Aligned,XP_001462149.1,1.3e-46,167.7,uncharacterized protein GSPATT00027100
24,Mass_AKT_Aligned,XP_001427766.1,1.3e-46,167.7,uncharacterized protein GSPATT00005117
25,Mass_AKT_Aligned,XP_001429186.1,1.5e-46,167.5,uncharacterized protein GSPATT00032020
26,Mass_AKT_Aligned,XP_001428411.1,1.2e-45,164.5,uncharacterized protein GSPATT00031242
27,Mass_AKT_Aligned,XP_001450629.1,1.1e-44,161.3,uncharacterized protein GSPATT00017576
