"","hit_id","query_id","hit_eval","hit_bitscore","hit_description"
"1","XP_002368822.1","Mass_AKT_Aligned",4.5e-91,313.2,"AGC kinase [Toxoplasma gondii ME49]"
"2","XP_002369273.1","Mass_AKT_Aligned",4.7e-41,147,"AGC kinase [Toxoplasma gondii ME49]"
"3","XP_018636458.1","Mass_AKT_Aligned",2.5e-22,84.8,"histone kinase SNF1, putative [Toxopla"
"4","XP_018636768.1","Mass_AKT_Aligned",3.4e-19,74.4,"serine/threonine protein kinase AktR,"
"5","XP_002364378.1","Mass_AKT_Aligned",2.3e-11,48.4,"protein kinase G AGC kinase family mem"
"6","XP_002366266.1","Mass_AKT_Aligned",6.3,10.4,"AGC kinase [Toxoplasma gondii ME49]"
"7","XP_001346828.1","Mass_AKT_Aligned",3.9e-38,133.1,"Protein kinase (macronuclear) [Paramec"
"8","XP_001347161.1","Mass_AKT_Aligned",1.4e-34,121.3,"Putative kinase, similar to Sgk1 serin"
"9","XP_001346931.1","Mass_AKT_Aligned",1.7e-09,38,"Protein kinase (macronuclear) [Paramec"
"10","XP_001347133.1","Mass_AKT_Aligned",1.3e-08,35.1,"cAMP-dependent protein kinase catalyti"
"11","XP_001347178.1","Mass_AKT_Aligned",0.0042,16.7,"cGMP-dependent protein kinase (macronu"
"12","XP_001426528.1","Mass_AKT_Aligned",7.5e-63,221.6,"uncharacterized protein GSPATT00029761"
"13","XP_001446226.1","Mass_AKT_Aligned",3.6e-62,219.4,"uncharacterized protein GSPATT00001870"
"14","XP_001457029.1","Mass_AKT_Aligned",9.2e-62,218,"uncharacterized protein GSPATT00022804"
"15","XP_001450719.1","Mass_AKT_Aligned",2.1e-61,216.8,"uncharacterized protein GSPATT00017666"
"16","XP_001436214.1","Mass_AKT_Aligned",3.4e-61,216.2,"uncharacterized protein GSPATT00007028"
"17","XP_001456072.1","Mass_AKT_Aligned",7.4e-61,215,"uncharacterized protein GSPATT00021843"
"18","XP_001453777.1","Mass_AKT_Aligned",1.7e-60,213.8,"uncharacterized protein GSPATT00020061"
"19","XP_001456532.1","Mass_AKT_Aligned",1.2e-59,211,"uncharacterized protein GSPATT00022304"
"20","XP_001454607.1","Mass_AKT_Aligned",6.6e-59,208.5,"uncharacterized protein GSPATT00020863"
"21","XP_001437914.1","Mass_AKT_Aligned",6.6e-58,205.2,"uncharacterized protein GSPATT00007652"
"22","XP_001442463.1","Mass_AKT_Aligned",5.2e-57,202.2,"uncharacterized protein GSPATT00001268"
"23","XP_001455304.1","Mass_AKT_Aligned",7.9e-57,201.6,"uncharacterized protein GSPATT00021531"
"24","XP_001424500.1","Mass_AKT_Aligned",9.9e-54,191.4,"uncharacterized protein GSPATT00028137"
"25","XP_001449219.1","Mass_AKT_Aligned",2.9e-53,189.8,"uncharacterized protein GSPATT00016635"
"26","XP_001437129.1","Mass_AKT_Aligned",8.6e-53,188.2,"uncharacterized protein GSPATT00038175"
"27","XP_001454992.1","Mass_AKT_Aligned",2.1e-52,187,"uncharacterized protein GSPATT00021227"
"28","XP_001443168.1","Mass_AKT_Aligned",2.5e-52,186.7,"uncharacterized protein GSPATT00011371"
"29","XP_001458902.1","Mass_AKT_Aligned",1.8e-51,183.8,"uncharacterized protein GSPATT00024233"
"30","XP_001458576.1","Mass_AKT_Aligned",5.8e-50,178.8,"uncharacterized protein GSPATT00023907"
"31","XP_001442059.1","Mass_AKT_Aligned",7.6e-50,178.4,"uncharacterized protein GSPATT00010830"
"32","XP_001446772.1","Mass_AKT_Aligned",1.6e-49,177.4,"uncharacterized protein GSPATT00014321"
"33","XP_001431227.1","Mass_AKT_Aligned",3.4e-47,169.7,"uncharacterized protein GSPATT00033682"
"34","XP_001437858.1","Mass_AKT_Aligned",1.1e-46,168,"uncharacterized protein GSPATT00038565"
"35","XP_001462149.1","Mass_AKT_Aligned",1.3e-46,167.7,"uncharacterized protein GSPATT00027100"
"36","XP_001427766.1","Mass_AKT_Aligned",1.3e-46,167.7,"uncharacterized protein GSPATT00005117"
"37","XP_001429186.1","Mass_AKT_Aligned",1.5e-46,167.5,"uncharacterized protein GSPATT00032020"
"38","XP_001428411.1","Mass_AKT_Aligned",1.2e-45,164.5,"uncharacterized protein GSPATT00031242"
"39","XP_001450629.1","Mass_AKT_Aligned",1.1e-44,161.3,"uncharacterized protein GSPATT00017576"
"40","XP_001434202.1","Mass_AKT_Aligned",1.2e-44,161.2,"uncharacterized protein GSPATT00035935"
"41","XP_001428156.1","Mass_AKT_Aligned",1.9e-44,160.5,"uncharacterized protein GSPATT00030987"
"42","XP_001430851.1","Mass_AKT_Aligned",2.6e-44,160.1,"uncharacterized protein GSPATT00033306"
"43","XP_001457615.1","Mass_AKT_Aligned",6.3e-44,158.8,"uncharacterized protein GSPATT00023393"
"44","XP_001433089.1","Mass_AKT_Aligned",8.1e-44,158.4,"uncharacterized protein GSPATT00035172"
"45","XP_001431467.1","Mass_AKT_Aligned",1.4e-43,157.6,"uncharacterized protein GSPATT00005921"
"46","XP_001455942.1","Mass_AKT_Aligned",1.9e-43,157.2,"uncharacterized protein GSPATT00021713"
"47","XP_001426136.1","Mass_AKT_Aligned",1.9e-43,157.2,"uncharacterized protein GSPATT00029366"
"48","XP_001455977.1","Mass_AKT_Aligned",6e-43,155.5,"uncharacterized protein GSPATT00021748"
"49","XP_001425565.1","Mass_AKT_Aligned",2.9e-42,153.2,"uncharacterized protein GSPATT00029203"
"50","XP_001433420.1","Mass_AKT_Aligned",4.6e-41,149.3,"uncharacterized protein GSPATT00006522"
"51","XP_001425164.1","Mass_AKT_Aligned",6.8e-41,148.7,"uncharacterized protein GSPATT00028801"
"52","XP_001427505.1","Mass_AKT_Aligned",1.5e-40,147.5,"uncharacterized protein GSPATT00030745"
"53","XP_001432136.1","Mass_AKT_Aligned",3.2e-40,146.5,"uncharacterized protein GSPATT00034216"
"54","XP_001426240.1","Mass_AKT_Aligned",3.3e-40,146.4,"uncharacterized protein GSPATT00029472"
"55","XP_001452550.1","Mass_AKT_Aligned",4.1e-40,146.1,"uncharacterized protein GSPATT00002553"
"56","XP_001459454.1","Mass_AKT_Aligned",3e-39,143.2,"uncharacterized protein GSPATT00024788"
"57","XP_001426615.1","Mass_AKT_Aligned",2.2e-38,140.4,"uncharacterized protein GSPATT00029848"
"58","XP_001461324.1","Mass_AKT_Aligned",1.9e-37,137.3,"uncharacterized protein GSPATT00026274"
"59","XP_001457534.1","Mass_AKT_Aligned",1.9e-37,137.2,"uncharacterized protein GSPATT00023311"
"60","XP_001454389.1","Mass_AKT_Aligned",1.9e-36,134,"uncharacterized protein GSPATT00020656"
"61","XP_001456785.1","Mass_AKT_Aligned",2.4e-36,133.6,"uncharacterized protein GSPATT00022560"
"62","XP_001423522.1","Mass_AKT_Aligned",3.3e-36,133.1,"uncharacterized protein GSPATT00000560"
"63","XP_001459025.1","Mass_AKT_Aligned",4.3e-36,132.8,"uncharacterized protein GSPATT00024357"
"64","XP_001435767.1","Mass_AKT_Aligned",4.7e-36,132.6,"uncharacterized protein GSPATT00037154"
"65","XP_001460680.1","Mass_AKT_Aligned",5.4e-36,132.4,"uncharacterized protein GSPATT00004152"
"66","XP_001438983.1","Mass_AKT_Aligned",2.7e-35,130.1,"uncharacterized protein GSPATT00008134"
"67","XP_001450839.1","Mass_AKT_Aligned",3.8e-35,129.6,"uncharacterized protein GSPATT00017771"
"68","XP_001442698.1","Mass_AKT_Aligned",4.5e-35,129.4,"uncharacterized protein GSPATT00001504"
"69","XP_001441197.1","Mass_AKT_Aligned",1.1e-34,128.1,"uncharacterized protein GSPATT00010072"
"70","XP_001435282.1","Mass_AKT_Aligned",1.1e-34,128.1,"uncharacterized protein GSPATT00036666"
"71","XP_001426212.1","Mass_AKT_Aligned",1.5e-34,127.7,"uncharacterized protein GSPATT00029443"
"72","XP_001455855.1","Mass_AKT_Aligned",2.6e-34,126.8,"uncharacterized protein GSPATT00021625"
"73","XP_001459091.1","Mass_AKT_Aligned",1.8e-33,124,"uncharacterized protein GSPATT00024424"
"74","XP_001462268.1","Mass_AKT_Aligned",3.7e-33,123,"uncharacterized protein GSPATT00027222"
"75","XP_001433856.1","Mass_AKT_Aligned",6.1e-33,122.3,"uncharacterized protein GSPATT00035588"
"76","XP_001456271.1","Mass_AKT_Aligned",2.2e-32,120.4,"uncharacterized protein GSPATT00022042"
"77","XP_001458036.1","Mass_AKT_Aligned",2.9e-32,120,"uncharacterized protein GSPATT00003501"
"78","XP_001427414.1","Mass_AKT_Aligned",3.1e-32,119.9,"uncharacterized protein GSPATT00030654"
"79","XP_001454476.1","Mass_AKT_Aligned",4.2e-32,119.5,"uncharacterized protein GSPATT00020732"
"80","XP_001448631.1","Mass_AKT_Aligned",8e-32,118.6,"uncharacterized protein GSPATT00016075"
"81","XP_001423123.1","Mass_AKT_Aligned",8.6e-32,118.5,"uncharacterized protein GSPATT00000160"
"82","XP_001459917.1","Mass_AKT_Aligned",1.2e-31,118,"uncharacterized protein GSPATT00025254"
"83","XP_001440007.1","Mass_AKT_Aligned",2.5e-31,116.9,"uncharacterized protein GSPATT00009001"
"84","XP_001434781.1","Mass_AKT_Aligned",9.1e-31,115.1,"uncharacterized protein GSPATT00006690"
"85","XP_001429763.1","Mass_AKT_Aligned",1.6e-30,114.3,"uncharacterized protein GSPATT00005611"
"86","XP_001442803.1","Mass_AKT_Aligned",1.2e-29,111.3,"uncharacterized protein GSPATT00001610"
"87","XP_001462550.1","Mass_AKT_Aligned",1.4e-29,111.1,"uncharacterized protein GSPATT00027506"
"88","XP_001427286.1","Mass_AKT_Aligned",1.5e-29,111.1,"uncharacterized protein GSPATT00030525"
"89","XP_001459310.1","Mass_AKT_Aligned",1.7e-29,110.9,"uncharacterized protein GSPATT00024644"
"90","XP_001442233.1","Mass_AKT_Aligned",4.5e-29,109.4,"uncharacterized protein GSPATT00011004"
"91","XP_001443640.1","Mass_AKT_Aligned",6.4e-29,108.9,"uncharacterized protein GSPATT00011816"
"92","XP_001456641.1","Mass_AKT_Aligned",9.6e-29,108.3,"uncharacterized protein GSPATT00022415"
"93","XP_001461434.1","Mass_AKT_Aligned",1.3e-28,108,"uncharacterized protein GSPATT00026384"
"94","XP_001456134.1","Mass_AKT_Aligned",1.4e-28,107.8,"uncharacterized protein GSPATT00021905"
"95","XP_001458943.1","Mass_AKT_Aligned",2e-28,107.3,"uncharacterized protein GSPATT00024274"
"96","XP_001442425.1","Mass_AKT_Aligned",2.3e-28,107.1,"uncharacterized protein GSPATT00001230"
"97","XP_001436903.1","Mass_AKT_Aligned",2.6e-28,106.9,"uncharacterized protein GSPATT00037945"
"98","XP_001428315.1","Mass_AKT_Aligned",4.4e-28,106.1,"uncharacterized protein GSPATT00031146"
"99","XP_001454236.1","Mass_AKT_Aligned",1.4e-27,104.5,"uncharacterized protein GSPATT00020501"
"100","XP_001451887.1","Mass_AKT_Aligned",2e-27,104,"uncharacterized protein GSPATT00018695"
"101","XP_001455596.1","Mass_AKT_Aligned",3.9e-27,103,"uncharacterized protein GSPATT00003167"
"102","XP_001441245.1","Mass_AKT_Aligned",8.5e-27,101.9,"uncharacterized protein GSPATT00010120"
"103","XP_001438610.1","Mass_AKT_Aligned",9e-27,101.8,"uncharacterized protein GSPATT00000926"
"104","XP_001452796.1","Mass_AKT_Aligned",1.1e-26,101.5,"uncharacterized protein GSPATT00002799"
"105","XP_001439328.1","Mass_AKT_Aligned",1.5e-26,101,"uncharacterized protein GSPATT00008410"
"106","XP_001438765.1","Mass_AKT_Aligned",7.5e-26,98.7,"uncharacterized protein GSPATT00001082"
"107","XP_001441008.1","Mass_AKT_Aligned",1.1e-25,98.3,"uncharacterized protein GSPATT00009883"
"108","XP_001438305.1","Mass_AKT_Aligned",3.1e-25,96.7,"uncharacterized protein GSPATT00000619"
"109","XP_001447759.1","Mass_AKT_Aligned",3.4e-25,96.5,"uncharacterized protein GSPATT00015257"
"110","XP_001437415.1","Mass_AKT_Aligned",3.8e-25,96.4,"uncharacterized protein GSPATT00007458"
"111","XP_001442536.1","Mass_AKT_Aligned",4.2e-25,96.3,"uncharacterized protein GSPATT00001342"
"112","XP_001448563.1","Mass_AKT_Aligned",5.5e-25,95.9,"uncharacterized protein GSPATT00016007"
"113","XP_001445944.1","Mass_AKT_Aligned",8.2e-25,95.3,"uncharacterized protein GSPATT00013977"
"114","XP_001441828.1","Mass_AKT_Aligned",8.4e-25,95.3,"uncharacterized protein GSPATT00010631"
"115","XP_001455101.1","Mass_AKT_Aligned",1.3e-24,94.7,"uncharacterized protein GSPATT00021337"
"116","XP_001427654.1","Mass_AKT_Aligned",1.4e-24,94.5,"uncharacterized protein GSPATT00030895"
"117","XP_001427769.1","Mass_AKT_Aligned",1.6e-24,94.4,"uncharacterized protein GSPATT00005120"
"118","XP_001455284.1","Mass_AKT_Aligned",1.9e-24,94,"uncharacterized protein GSPATT00021511"
"119","XP_001423746.1","Mass_AKT_Aligned",2.1e-24,94,"uncharacterized protein GSPATT00004442"
"120","XP_001446929.1","Mass_AKT_Aligned",2.5e-24,93.7,"uncharacterized protein GSPATT00014478"
"121","XP_001460411.1","Mass_AKT_Aligned",2.8e-24,93.5,"uncharacterized protein GSPATT00003883"
"122","XP_001439848.1","Mass_AKT_Aligned",4.6e-24,92.8,"uncharacterized protein GSPATT00008893"
"123","XP_001460320.1","Mass_AKT_Aligned",5.5e-24,92.5,"uncharacterized protein GSPATT00025660"
"124","XP_001439693.1","Mass_AKT_Aligned",6.8e-24,92.2,"uncharacterized protein GSPATT00008738"
"125","XP_001462399.1","Mass_AKT_Aligned",8.6e-24,91.9,"uncharacterized protein GSPATT00027355"
"126","XP_001426498.1","Mass_AKT_Aligned",9.4e-24,91.8,"uncharacterized protein GSPATT00029731"
"127","XP_001456997.1","Mass_AKT_Aligned",1.2e-23,91.4,"uncharacterized protein GSPATT00022772"
"128","XP_001426480.1","Mass_AKT_Aligned",1.6e-23,91,"uncharacterized protein GSPATT00029713"
"129","XP_001435568.1","Mass_AKT_Aligned",1.7e-23,90.9,"uncharacterized protein GSPATT00036954"
"130","XP_001460623.1","Mass_AKT_Aligned",2e-23,90.7,"uncharacterized protein GSPATT00004095"
"131","XP_001430079.1","Mass_AKT_Aligned",2.9e-23,90.1,"uncharacterized protein GSPATT00032533"
"132","XP_001462143.1","Mass_AKT_Aligned",4.1e-23,89.6,"uncharacterized protein GSPATT00027094"
"133","XP_001435779.1","Mass_AKT_Aligned",5.5e-23,89.2,"uncharacterized protein GSPATT00037166"
"134","XP_001430337.1","Mass_AKT_Aligned",6.2e-23,89,"uncharacterized protein GSPATT00032791"
"135","XP_001455269.1","Mass_AKT_Aligned",7.6e-23,88.7,"uncharacterized protein GSPATT00021496"
"136","XP_001453282.1","Mass_AKT_Aligned",9.8e-23,88.4,"uncharacterized protein GSPATT00019589"
"137","XP_001424006.1","Mass_AKT_Aligned",1.6e-22,87.7,"uncharacterized protein GSPATT00027637"
"138","XP_001434502.1","Mass_AKT_Aligned",2.4e-22,87.1,"uncharacterized protein GSPATT00036238"
"139","XP_001457555.1","Mass_AKT_Aligned",4.2e-22,86.3,"uncharacterized protein GSPATT00023332"
"140","XP_001437941.1","Mass_AKT_Aligned",4.2e-22,86.3,"uncharacterized protein GSPATT00007679"
"141","XP_001457896.1","Mass_AKT_Aligned",4.7e-22,86.1,"uncharacterized protein GSPATT00023676"
"142","XP_001447448.1","Mass_AKT_Aligned",5.1e-22,86,"uncharacterized protein GSPATT00014958"
"143","XP_001455776.1","Mass_AKT_Aligned",6.5e-22,85.7,"uncharacterized protein GSPATT00003348"
"144","XP_001430309.1","Mass_AKT_Aligned",1e-21,85,"uncharacterized protein GSPATT00032763"
"145","XP_001433934.1","Mass_AKT_Aligned",1.2e-21,84.8,"uncharacterized protein GSPATT00035666"
"146","XP_001440613.1","Mass_AKT_Aligned",1.7e-21,84.3,"uncharacterized protein GSPATT00038872"
"147","XP_001433533.1","Mass_AKT_Aligned",1.8e-21,84.2,"uncharacterized protein GSPATT00035265"
"148","XP_001431826.1","Mass_AKT_Aligned",4.5e-21,82.9,"uncharacterized protein GSPATT00033904"
"149","XP_001459666.1","Mass_AKT_Aligned",6.4e-21,82.3,"uncharacterized protein GSPATT00025001"
"150","XP_001456972.1","Mass_AKT_Aligned",7.4e-21,82.1,"uncharacterized protein GSPATT00022747"
"151","XP_001461412.1","Mass_AKT_Aligned",1.3e-20,81.3,"uncharacterized protein GSPATT00026362"
"152","XP_001454175.1","Mass_AKT_Aligned",1.7e-20,81,"uncharacterized protein GSPATT00020450"
"153","XP_001455874.1","Mass_AKT_Aligned",2.2e-20,80.6,"uncharacterized protein GSPATT00021645"
