,query_id,hit_id,hit_eval,hit_bitscore,hit_description
0,Mass_AKT_Aligned,XP_002368822.1,1.9e-108,370.9,AGC kinase [Toxoplasma gondii ME49]
1,Mass_AKT_Aligned,XP_002369273.1,5.5e-68,236.5,AGC kinase [Toxoplasma gondii ME49]
2,Mass_AKT_Aligned,XP_002366266.1,1.5e-55,195.1,AGC kinase [Toxoplasma gondii ME49]
3,Mass_AKT_Aligned,XP_002366464.1,1.5e-54,191.8,"protein kinase, cAMP-dependent, cataly"
4,Mass_AKT_Aligned,XP_018636768.1,7.8e-44,156.2,"serine/threonine protein kinase AktR,"
5,Mass_AKT_Aligned,XP_018636458.1,4.4e-41,147.1,"histone kinase SNF1, putative [Toxopla"
6,Mass_AKT_Aligned,XP_002364378.1,1.6e-37,135.3,protein kinase G AGC kinase family mem
7,Mass_AKT_Aligned,XP_018636760.1,3.3e-34,124.2,"histone kinase SNF1, putative [Toxopla"
8,Mass_AKT_Aligned,XP_002365887.1,1.3e-28,105.7,protein kinase (incomplete catalytic t
9,Mass_AKT_Aligned,XP_002367583.2,1.3e-26,99.0,aurora kinase [Toxoplasma gondii ME49]
10,Mass_AKT_Aligned,XP_002370358.1,2.6e-23,88.1,calcium-dependent protein kinase CDPK3
11,Mass_AKT_Aligned,XP_018638148.1,1.4e-22,85.6,"calcium signaling protein kinase MARK,"
12,Mass_AKT_Aligned,XP_002365025.1,6.8e-21,80.0,calcium signaling protein kinase RAD53
13,Mass_AKT_Aligned,XP_018637513.1,8.4e-21,79.7,"CAM kinase, SNF1/AMK1 family ToxPK1 [T"
14,Mass_AKT_Aligned,XP_018637931.1,7e-20,76.6,calcium-dependent protein kinase CDPK1
15,Mass_AKT_Aligned,XP_002366222.1,5.5e-19,73.7,calcium-dependent protein kinase CDPK2
16,Mass_AKT_Aligned,XP_018637242.1,5.7e-18,70.3,calcium-dependent protein kinase CDPK2
17,Mass_AKT_Aligned,XP_002366951.1,4.8e-16,63.9,NEK kinase [Toxoplasma gondii ME49]
18,Mass_AKT_Aligned,XP_018635814.1,8.7e-16,63.1,ULK kinase [Toxoplasma gondii ME49]
19,Mass_AKT_Aligned,XP_018636107.1,7.9e-15,59.9,calcium dependent protein kinase CDPK7
20,Mass_AKT_Aligned,XP_018636200.1,7e-14,56.7,"CMGC kinase, CK2 family [Toxoplasma go"
21,Mass_AKT_Aligned,XP_018638157.1,1.2e-13,56.0,"CAM Kinase family, incomplete catalyti"
22,Mass_AKT_Aligned,XP_002369847.2,3.8e-13,54.3,NEK kinase [Toxoplasma gondii ME49]
23,Mass_AKT_Aligned,XP_002366169.2,6.2e-13,53.6,calcium-dependent protein kinase CDPK5
24,Mass_AKT_Aligned,XP_002365528.2,2e-12,51.9,AGC kinase [Toxoplasma gondii ME49]
25,Mass_AKT_Aligned,XP_002370886.1,2.3e-12,51.7,cAMP-dependent protein kinase [Toxopla
26,Mass_AKT_Aligned,XP_002366770.1,4.4e-12,50.8,calcium-dependent protein kinase CDPK2
27,Mass_AKT_Aligned,XP_018636684.1,1.2e-11,49.2,AGC kinase [Toxoplasma gondii ME49]
28,Mass_AKT_Aligned,XP_018636940.1,5.1e-11,47.2,ULK kinase [Toxoplasma gondii ME49]
29,Mass_AKT_Aligned,XP_018637922.1,1.2e-10,46.0,calcium-dependent protein kinase CDPK4
30,Mass_AKT_Aligned,XP_018638015.1,1.2e-10,45.9,aurora kinase(incomplete catalytic tri
31,Mass_AKT_Aligned,XP_018637271.1,1.5e-10,45.7,AGC kinase [Toxoplasma gondii ME49]
32,Mass_AKT_Aligned,XP_002370627.1,2.3e-09,41.7,NEK kinase [Toxoplasma gondii ME49]
33,Mass_AKT_Aligned,XP_002366307.1,4.7e-09,40.7,protein kinase [Toxoplasma gondii ME49
34,Mass_AKT_Aligned,XP_002370646.2,6.2e-09,40.3,calcium-dependent protein kinase CDPK6
35,Mass_AKT_Aligned,XP_002368774.1,5e-08,37.3,"protein kinase, putative [Toxoplasma g"
36,Mass_AKT_Aligned,XP_018637624.1,8e-08,36.6,calcium-dependent protein kinase [Toxo
37,Mass_AKT_Aligned,XP_002368750.2,1.1e-07,36.1,NEK kinase [Toxoplasma gondii ME49]
38,Mass_AKT_Aligned,XP_018636355.1,2e-07,35.3,NEK kinase [Toxoplasma gondii ME49]
39,Mass_AKT_Aligned,XP_018636958.1,2e-07,35.3,protein kinase domain-containing prote
40,Mass_AKT_Aligned,XP_018638537.1,2.7e-07,34.9,calcium-dependent protein kinase CDPK4
41,Mass_AKT_Aligned,XP_002366682.1,3.8e-07,34.4,ULK kinase [Toxoplasma gondii ME49]
42,Mass_AKT_Aligned,XP_018635298.1,1.5e-06,32.4,ULK kinase [Toxoplasma gondii ME49]
43,Mass_AKT_Aligned,XP_002370410.1,2.5e-06,31.6,"CAM kinase, CDPK family [Toxoplasma go"
44,Mass_AKT_Aligned,XP_002371374.1,3e-05,28.0,"cell-cycle-associated protein kinase,"
45,Mass_AKT_Aligned,XP_002369174.1,4.5e-05,27.5,cyclin-dependent kinase family 5 prote
46,Mass_AKT_Aligned,XP_002366584.2,0.0001,26.3,protein kinase (incomplete catalytic t
47,Mass_AKT_Aligned,XP_018635026.1,0.0003,24.7,cell-cycle-associated protein kinase C
48,Mass_AKT_Aligned,XP_002366833.1,0.00086,23.2,atypical MEK-related kinase (incomplet
49,Mass_AKT_Aligned,XP_002369665.1,0.005,20.7,Tyrosine kinase-like (TKL) protein [To
50,Mass_AKT_Aligned,XP_018637920.1,0.0064,20.3,protein kinase domain-containing prote
51,Mass_AKT_Aligned,XP_018636006.1,0.048,17.4,Tyrosine kinase-like (TKL) protein [To
52,Mass_AKT_Aligned,XP_018637123.1,0.068,16.9,"protein kinase, putative [Toxoplasma g"
53,Mass_AKT_Aligned,XP_018637623.1,0.22,15.2,protein kinase (incomplete catalytic t
54,Mass_AKT_Aligned,XP_018637662.1,0.29,14.8,protein kinase [Toxoplasma gondii ME49
55,Mass_AKT_Aligned,XP_018637942.1,0.43,14.2,Tyrosine kinase-like (TKL) protein [To
56,Mass_AKT_Aligned,XP_018636256.1,1.7,12.2,cell-cycle-associated protein kinase G
57,Mass_AKT_Aligned,XP_018638598.1,2.2,11.9,NEK kinase [Toxoplasma gondii ME49]
58,Mass_AKT_Aligned,XP_002369128.1,3.8,11.1,"protein kinase, putative [Toxoplasma g"
59,Mass_AKT_Aligned,XP_002370610.1,5.0,10.7,cell-cycle-associated protein kinase C
60,Mass_AKT_Aligned,XP_018635512.1,6.6,10.3,eIF2 kinase IF2K-B [Toxoplasma gondii
61,Mass_AKT_Aligned,XP_002368662.1,6.9,10.2,cell-cycle-associated protein kinase G
62,Mass_AKT_Aligned,XP_018637476.1,7.2,10.2,rhoptry kinase family protein ROP19A [
63,Mass_AKT_Aligned,XP_002371588.1,7.3,10.2,"protein kinase, other [Toxoplasma gond"
64,Mass_AKT_Aligned,XP_002366753.2,7.5,10.1,rhoptry kinase family protein ROP29 [T
65,Mass_AKT_Aligned,XP_018634761.1,7.5,10.1,myosin-light-chain kinase [Toxoplasma
66,Mass_AKT_Aligned,XP_018634760.1,7.5,10.1,myosin-light-chain kinase [Toxoplasma
67,Mass_AKT_Aligned,XP_018634858.1,8.1,10.0,calcium-dependent protein kinase CDPK9
68,Mass_AKT_Aligned,XP_002366751.2,8.3,10.0,rhoptry kinase family protein ROP38 [T
69,Mass_AKT_Aligned,XP_018634757.1,8.3,10.0,myosin-light-chain kinase [Toxoplasma
0,Mass_AKT_Aligned,XP_001347133.1,1.3e-70,241.0,cAMP-dependent protein kinase catalyti
1,Mass_AKT_Aligned,XP_001346828.1,3.1e-55,189.9,Protein kinase (macronuclear) [Paramec
2,Mass_AKT_Aligned,XP_001347161.1,7.6e-52,178.7,"Putative kinase, similar to Sgk1 serin"
3,Mass_AKT_Aligned,XP_001347188.1,2.9e-39,136.9,SNF1-related protein kinase (macronucl
4,Mass_AKT_Aligned,XP_001347011.1,9.4e-35,121.9,SNF1-related protein kinase (macronucl
5,Mass_AKT_Aligned,XP_001346931.1,4.7e-30,106.3,Protein kinase (macronuclear) [Paramec
6,Mass_AKT_Aligned,XP_001347178.1,1e-27,98.5,cGMP-dependent protein kinase (macronu
7,Mass_AKT_Aligned,XP_001347264.1,4.3e-27,96.4,Calcium-dependent protein kinase (macr
8,Mass_AKT_Aligned,XP_001346949.1,9.8e-12,45.4,Protein kinase (macronuclear) [Paramec
9,Mass_AKT_Aligned,XP_001347275.1,1.1e-11,45.3,Serine/threonine protein kinase tousle
10,Mass_AKT_Aligned,XP_001346987.1,6.5e-10,39.4,Protein kinase (macronuclear) [Paramec
11,Mass_AKT_Aligned,XP_001346834.1,4.7e-09,36.5,Protein kinase (macronuclear) [Paramec
12,Mass_AKT_Aligned,XP_001346889.1,7e-08,32.6,UNC51-like kinase (macronuclear) [Para
13,Mass_AKT_Aligned,XP_001347283.1,1.6e-06,28.1,Protein kinase (macronuclear) [Paramec
14,Mass_AKT_Aligned,XP_001346842.1,1.9e-06,27.8,MAP kinase (macronuclear) [Paramecium
15,Mass_AKT_Aligned,XP_001347219.1,0.0016,18.2,Protein kinase (macronuclear) [Paramec
16,Mass_AKT_Aligned,XP_001347250.1,0.0026,17.5,Protein kinase (macronuclear) [Paramec
17,Mass_AKT_Aligned,XP_001346988.1,0.012,15.2,Protein kinase (macronuclear) [Paramec
18,Mass_AKT_Aligned,XP_001347242.1,0.025,14.2,Protein kinase (macronuclear) [Paramec
19,Mass_AKT_Aligned,XP_001346956.1,0.025,14.2,Protein kinase (macronuclear) [Paramec
20,Mass_AKT_Aligned,XP_001347239.1,0.056,13.0,Casein kinase II alpha subunit (macron
21,Mass_AKT_Aligned,XP_001347277.1,1.6,8.2,Protein kinase (macronuclear) [Paramec
22,Mass_AKT_Aligned,XP_001347130.1,1.9,7.9,Protein kinase (macronuclear) [Paramec
23,Mass_AKT_Aligned,XP_001347118.1,5.4,6.4,Pleckstrin homology domain protein (ma
24,Mass_AKT_Aligned,XP_001347022.1,9.7,5.5,Casein kinase II catalytic subunit (ma
0,Mass_AKT_Aligned,XP_001436214.1,5.9e-94,325.0,uncharacterized protein GSPATT00007028
1,Mass_AKT_Aligned,XP_001449219.1,2.2e-93,323.0,uncharacterized protein GSPATT00016635
2,Mass_AKT_Aligned,XP_001442425.1,6e-89,308.3,uncharacterized protein GSPATT00001230
3,Mass_AKT_Aligned,XP_001452796.1,2.7e-87,302.9,uncharacterized protein GSPATT00002799
4,Mass_AKT_Aligned,XP_001452550.1,1.5e-84,293.7,uncharacterized protein GSPATT00002553
5,Mass_AKT_Aligned,XP_001430851.1,4.9e-84,292.0,uncharacterized protein GSPATT00033306
6,Mass_AKT_Aligned,XP_001442698.1,9e-81,281.2,uncharacterized protein GSPATT00001504
7,Mass_AKT_Aligned,XP_001426528.1,9.5e-81,281.1,uncharacterized protein GSPATT00029761
8,Mass_AKT_Aligned,XP_001439328.1,2.4e-80,279.8,uncharacterized protein GSPATT00008410
9,Mass_AKT_Aligned,XP_001456785.1,3.1e-80,279.4,uncharacterized protein GSPATT00022560
10,Mass_AKT_Aligned,XP_001453777.1,1.2e-79,277.5,uncharacterized protein GSPATT00020061
11,Mass_AKT_Aligned,XP_001457029.1,1.3e-79,277.3,uncharacterized protein GSPATT00022804
12,Mass_AKT_Aligned,XP_001446226.1,1.9e-79,276.8,uncharacterized protein GSPATT00001870
13,Mass_AKT_Aligned,XP_001456532.1,9.7e-79,274.4,uncharacterized protein GSPATT00022304
14,Mass_AKT_Aligned,XP_001450719.1,1.1e-78,274.2,uncharacterized protein GSPATT00017666
15,Mass_AKT_Aligned,XP_001435282.1,3.6e-77,269.2,uncharacterized protein GSPATT00036666
16,Mass_AKT_Aligned,XP_001437914.1,4.5e-77,268.9,uncharacterized protein GSPATT00007652
17,Mass_AKT_Aligned,XP_001456641.1,1.6e-76,267.1,uncharacterized protein GSPATT00022415
18,Mass_AKT_Aligned,XP_001456072.1,5e-76,265.4,uncharacterized protein GSPATT00021843
19,Mass_AKT_Aligned,XP_001458576.1,6.5e-76,265.0,uncharacterized protein GSPATT00023907
20,Mass_AKT_Aligned,XP_001455304.1,3.8e-75,262.5,uncharacterized protein GSPATT00021531
21,Mass_AKT_Aligned,XP_001454607.1,2.1e-74,260.0,uncharacterized protein GSPATT00020863
22,Mass_AKT_Aligned,XP_001458902.1,3.2e-73,256.1,uncharacterized protein GSPATT00024233
23,Mass_AKT_Aligned,XP_001428411.1,6.3e-73,255.1,uncharacterized protein GSPATT00031242
