tar,tar_acc,query,hmm_acc,full_e,full_score,full_bias,dom_e,dom_score,dom_bias,acc,Organism Name,Organism Taxonomic ID
QDZ23105.1,-,Pkinase,PF00069.31,1.5e-75,252.9,0,2.1999999999999998e-75,252.4,0,GCA_007859695.1,Chloropicon primus,1764295
UPR02319.1,-,Pkinase,PF00069.31,1.5e-75,252.9,0,2.1999999999999998e-75,252.4,0,GCA_023205875.1,Chloropicon primus,1764295
WZN65873.1,-,Pkinase,PF00069.31,4.9e-74,248,0,7.6e-74,247.4,0,GCA_038396805.1,Chloropicon roscoffensis,1461544
AAZ11787.1,-,Pkinase,PF00069.31,5.9e-72,241.2,0,7.4e-72,240.9,0,GCA_000002445.1,Trypanosoma brucei brucei TREU927,185431
EFC48508.1,-,Pkinase,PF00069.31,1.8999999999999998e-73,246.9,0,2.5999999999999998e-73,246.5,0,GCA_000004985.1,Naegleria gruberi,5762
EFC48465.1,-,Pkinase,PF00069.31,4.4e-71,239.2,0,8e-71,238.3,0,GCA_000004985.1,Naegleria gruberi,5762
EKG01083.1,-,Pkinase,PF00069.31,7e-70,234.7,0,8.7e-70,234.4,0,GCA_000188675.2,Trypanosoma cruzi,5693
EKG01152.1,-,Pkinase,PF00069.31,7.6e-70,234.6,0,9.5e-70,234.3,0,GCA_000188675.2,Trypanosoma cruzi,5693
EKG05995.1,-,Pkinase,PF00069.31,1.5e-69,233.6,0,2e-69,233.2,0,GCA_000188675.2,Trypanosoma cruzi,5693
EAN95526.1,-,Pkinase,PF00069.31,3.8e-69,233.1,0,4.999999999999997e-69,232.7,0,GCA_000209065.1,Trypanosoma cruzi,5693
EAN93289.1,-,Pkinase,PF00069.31,4.4999999999999996e-69,232.9,0,5.8e-69,232.5,0,GCA_000209065.1,Trypanosoma cruzi,5693
CBH11725.1,-,Pkinase,PF00069.31,6.6e-72,241.2,0,8.3e-72,240.9,0,GCA_000210295.1,Trypanosoma brucei gambiense DAL972,679716
CCD12967.1,-,Pkinase,PF00069.31,9.1e-71,236.7,0,1.1999999999999999e-70,236.4,0,GCA_000227395.2,Trypanosoma congolense IL3000,1068625
