tar,tar_acc,query,hmm_acc,full_e,full_score,full_bias,dom_e,dom_score,dom_bias,acc
AAZ11787.1,-,PH,PF00169.35,6.8e-07,28.8,0.0,2.7e-06,26.8,0.0,GCA_000002445.1
EFC48465.1,-,PH,PF00169.35,7.2e-18,64.9,0.2,1.3e-17,64.0,0.2,GCA_000004985.1
EFC48508.1,-,PH,PF00169.35,2.1e-15,56.9,0.0,4.3e-15,55.9,0.0,GCA_000004985.1
EKG05995.1,-,PH,PF00169.35,8.6e-11,41.6,0.0,4.9e-06,26.3,0.0,GCA_000188675.2
EKG01152.1,-,PH,PF00169.35,8.5e-06,25.5,0.0,1.6e-05,24.6,0.0,GCA_000188675.2
EKG01083.1,-,PH,PF00169.35,0.00069,19.4,0.0,0.0014,18.4,0.0,GCA_000188675.2
EAN95526.1,-,PH,PF00169.35,3.8e-10,40.3,0.0,1.7e-05,25.4,0.0,GCA_000209065.1
EAN93289.1,-,PH,PF00169.35,4.1e-10,40.2,0.0,1.9e-05,25.2,0.0,GCA_000209065.1
CBH11725.1,-,PH,PF00169.35,6.3e-07,29.0,0.0,2.6e-06,27.1,0.0,GCA_000210295.1
CCD12967.1,-,PH,PF00169.35,1.8e-13,49.4,0.3,4e-13,48.3,0.3,GCA_000227395.2
ESL09287.1,-,PH,PF00169.35,1.9e-13,49.6,0.1,3.9e-13,48.6,0.1,GCA_000492115.1
ESL09328.1,-,PH,PF00169.35,3.3e-08,32.8,0.0,0.0035,16.6,0.0,GCA_000492115.1
ESS66503.1,-,PH,PF00169.35,9e-11,41.6,0.0,5.1e-06,26.3,0.0,GCA_000496795.1
KEG13031.1,-,PH,PF00169.35,7.9e-11,41.7,0.0,1.8e-10,40.5,0.0,GCA_000691245.1
KPI88701.1,-,PH,PF00169.35,5.4e-11,41.9,0.2,1.1e-10,41.0,0.2,GCA_001299535.1
SCU71901.1,-,PH,PF00169.35,5.9e-07,28.8,0.0,2.4e-06,26.8,0.0,GCA_001457755.2
CUG87473.1,-,PH,PF00169.35,1.6e-14,54.3,0.0,3.1e-14,53.4,0.0,GCA_001460835.1
ORC90990.1,-,PH,PF00169.35,4e-14,52.3,0.2,9.4e-14,51.2,0.2,GCA_002087225.1
PBJ68363.1,-,PH,PF00169.35,1.6e-10,41.0,0.0,7.5e-06,26.0,0.0,GCA_002219105.2
PWV03565.1,-,PH,PF00169.35,4.7e-10,40.3,0.0,2.2e-05,25.3,0.0,GCA_003177095.1
PWV04907.1,-,PH,PF00169.35,5.1e-10,40.2,0.0,2.3e-05,25.2,0.0,GCA_003177095.1
PWU91309.1,-,PH,PF00169.35,1.4e-10,41.4,0.0,7.3e-06,26.2,0.0,GCA_003177105.1
KAG2383509.1,-,PH,PF00169.35,1.8e-14,53.8,0.1,3.6e-14,52.9,0.1,GCA_003324165.2
RHW72188.1,-,PH,PF00169.35,4.9e-07,29.0,0.0,2e-06,27.1,0.0,GCA_003543875.1
RNC33287.1,-,PH,PF00169.35,5.7e-10,40.5,0.0,2.9e-05,25.4,0.0,GCA_003719155.1
RNC58122.1,-,PH,PF00169.35,6.3e-10,40.3,0.0,2.9e-05,25.3,0.0,GCA_003719155.1
RNC45389.1,-,PH,PF00169.35,8.1e-10,40.0,0.0,3.7e-05,25.0,0.0,GCA_003719155.1
RNF23461.1,-,PH,PF00169.35,1.5e-10,41.0,0.0,7e-06,26.0,0.0,GCA_003719455.1
RNF10748.1,-,PH,PF00169.35,1.6e-09,37.4,0.0,0.001,18.8,0.0,GCA_003719475.1
RNF26246.1,-,PH,PF00169.35,4.4e-10,39.2,0.0,6.6e-05,22.6,0.0,GCA_003719485.1
KAF0971992.1,-,PH,PF00169.35,6.9e-20,71.2,2.0,4.7e-19,68.5,0.2,GCA_008403515.1
KAF0972041.1,-,PH,PF00169.35,4.3e-15,55.8,0.0,8.9e-15,54.7,0.0,GCA_008403515.1
KAF8285262.1,-,PH,PF00169.35,1.7e-10,41.0,0.0,7.8e-06,26.0,0.0,GCA_015033625.1
KAF8293881.1,-,PH,PF00169.35,2.8e-10,40.3,0.0,1.3e-05,25.3,0.0,GCA_015033655.1
KAK7200002.1,-,PH,PF00169.35,4.6e-10,38.9,0.5,9.9e-10,37.8,0.1,GCA_019188245.1
KAH8613647.1,-,PH,PF00169.35,7.5e-13,48.9,0.9,1.6e-12,47.8,0.8,GCA_021307395.1
KAL0480874.1,-,PH,PF00169.35,1.2e-17,64.1,0.0,2.3e-17,63.3,0.0,GCA_026419775.2
KAL0489363.1,-,PH,PF00169.35,2.6e-16,59.9,0.1,5.3e-16,58.9,0.1,GCA_026419775.2
KAL0483437.1,-,PH,PF00169.35,8.4e-13,48.6,1.9,1.3e-12,48.0,0.3,GCA_026419775.2
KAL0476374.1,-,PH,PF00169.35,8.4e-13,48.6,1.9,1.3e-12,48.0,0.3,GCA_026419775.2
KAJ9458537.1,-,PH,PF00169.35,2.7e-09,38.5,0.1,5.6e-09,37.5,0.1,GCA_030068145.1
KAJ9457942.1,-,PH,PF00169.35,0.0016,20.0,0.1,0.15,13.7,0.1,GCA_030068145.1
