,query_id,hit_id,hit_eval,hit_bitscore,hit_description,accn
0,Mass_AKT_Aligned,XP_002368822.1,1.9e-108,370.9,AGC kinase [Toxoplasma gondii ME49],GCF_000006565.2
1,Mass_AKT_Aligned,XP_002369273.1,5.5e-68,236.5,AGC kinase [Toxoplasma gondii ME49],GCF_000006565.2
2,Mass_AKT_Aligned,XP_002366266.1,1.5e-55,195.1,AGC kinase [Toxoplasma gondii ME49],GCF_000006565.2
3,Mass_AKT_Aligned,XP_002366464.1,1.5e-54,191.8,"protein kinase, cAMP-dependent, cataly",GCF_000006565.2
4,Mass_AKT_Aligned,XP_018636768.1,7.8e-44,156.2,"serine/threonine protein kinase AktR,",GCF_000006565.2
5,Mass_AKT_Aligned,XP_018636458.1,4.4e-41,147.1,"histone kinase SNF1, putative [Toxopla",GCF_000006565.2
6,Mass_AKT_Aligned,XP_002364378.1,1.6e-37,135.3,protein kinase G AGC kinase family mem,GCF_000006565.2
7,Mass_AKT_Aligned,XP_018636760.1,3.3e-34,124.2,"histone kinase SNF1, putative [Toxopla",GCF_000006565.2
8,Mass_AKT_Aligned,XP_002365887.1,1.3e-28,105.7,protein kinase (incomplete catalytic t,GCF_000006565.2
9,Mass_AKT_Aligned,XP_002367583.2,1.3e-26,99.0,aurora kinase [Toxoplasma gondii ME49],GCF_000006565.2
10,Mass_AKT_Aligned,XP_002370358.1,2.6e-23,88.1,calcium-dependent protein kinase CDPK3,GCF_000006565.2
11,Mass_AKT_Aligned,XP_018638148.1,1.4e-22,85.6,"calcium signaling protein kinase MARK,",GCF_000006565.2
12,Mass_AKT_Aligned,XP_002365025.1,6.8e-21,80.0,calcium signaling protein kinase RAD53,GCF_000006565.2
13,Mass_AKT_Aligned,XP_018637513.1,8.4e-21,79.7,"CAM kinase, SNF1/AMK1 family ToxPK1 [T",GCF_000006565.2
14,Mass_AKT_Aligned,XP_018637931.1,7e-20,76.6,calcium-dependent protein kinase CDPK1,GCF_000006565.2
15,Mass_AKT_Aligned,XP_002366222.1,5.5e-19,73.7,calcium-dependent protein kinase CDPK2,GCF_000006565.2
16,Mass_AKT_Aligned,XP_018637242.1,5.7e-18,70.3,calcium-dependent protein kinase CDPK2,GCF_000006565.2
17,Mass_AKT_Aligned,XP_002366951.1,4.8e-16,63.9,NEK kinase [Toxoplasma gondii ME49],GCF_000006565.2
18,Mass_AKT_Aligned,XP_018635814.1,8.7e-16,63.1,ULK kinase [Toxoplasma gondii ME49],GCF_000006565.2
19,Mass_AKT_Aligned,XP_018636107.1,7.9e-15,59.9,calcium dependent protein kinase CDPK7,GCF_000006565.2
20,Mass_AKT_Aligned,XP_018636200.1,7e-14,56.7,"CMGC kinase, CK2 family [Toxoplasma go",GCF_000006565.2
21,Mass_AKT_Aligned,XP_018638157.1,1.2e-13,56.0,"CAM Kinase family, incomplete catalyti",GCF_000006565.2
22,Mass_AKT_Aligned,XP_002369847.2,3.8e-13,54.3,NEK kinase [Toxoplasma gondii ME49],GCF_000006565.2
23,Mass_AKT_Aligned,XP_002366169.2,6.2e-13,53.6,calcium-dependent protein kinase CDPK5,GCF_000006565.2
24,Mass_AKT_Aligned,XP_002365528.2,2e-12,51.9,AGC kinase [Toxoplasma gondii ME49],GCF_000006565.2
25,Mass_AKT_Aligned,XP_002370886.1,2.3e-12,51.7,cAMP-dependent protein kinase [Toxopla,GCF_000006565.2
26,Mass_AKT_Aligned,XP_002366770.1,4.4e-12,50.8,calcium-dependent protein kinase CDPK2,GCF_000006565.2
27,Mass_AKT_Aligned,XP_018636684.1,1.2e-11,49.2,AGC kinase [Toxoplasma gondii ME49],GCF_000006565.2
28,Mass_AKT_Aligned,XP_018636940.1,5.1e-11,47.2,ULK kinase [Toxoplasma gondii ME49],GCF_000006565.2
29,Mass_AKT_Aligned,XP_018637922.1,1.2e-10,46.0,calcium-dependent protein kinase CDPK4,GCF_000006565.2
30,Mass_AKT_Aligned,XP_018638015.1,1.2e-10,45.9,aurora kinase(incomplete catalytic tri,GCF_000006565.2
31,Mass_AKT_Aligned,XP_018637271.1,1.5e-10,45.7,AGC kinase [Toxoplasma gondii ME49],GCF_000006565.2
32,Mass_AKT_Aligned,XP_002370627.1,2.3e-09,41.7,NEK kinase [Toxoplasma gondii ME49],GCF_000006565.2
33,Mass_AKT_Aligned,XP_002366307.1,4.7e-09,40.7,protein kinase [Toxoplasma gondii ME49,GCF_000006565.2
34,Mass_AKT_Aligned,XP_002370646.2,6.2e-09,40.3,calcium-dependent protein kinase CDPK6,GCF_000006565.2
35,Mass_AKT_Aligned,XP_002368774.1,5e-08,37.3,"protein kinase, putative [Toxoplasma g",GCF_000006565.2
36,Mass_AKT_Aligned,XP_018637624.1,8e-08,36.6,calcium-dependent protein kinase [Toxo,GCF_000006565.2
37,Mass_AKT_Aligned,XP_002368750.2,1.1e-07,36.1,NEK kinase [Toxoplasma gondii ME49],GCF_000006565.2
38,Mass_AKT_Aligned,XP_018636355.1,2e-07,35.3,NEK kinase [Toxoplasma gondii ME49],GCF_000006565.2
